Row 1: 4, 3, 5, 4, 3, 3, 4, 5, 3, 4, 5, 4, 3, 2, 4, 4, 3, 2, 4, 5
Row 2: 3, 4, 5, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4
Row 3: 3, 4, 3, 5, 4, 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 4, 3, 2, 4, 5
Row 4: 4, 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3
Row 5: 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3
Row 6: 4, 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3
Row 7: 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4
Row 8: 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4, 4
Row 9: 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4, 4, 3, 5
Row 10: 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4, 4, 3, 5, 4, 3
Row 11: 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4, 4, 3, 5, 4, 3, 4, 5
Row 12: 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4, 4, 3, 5, 4, 3, 4
Row 13: 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3
Row 14: 4, 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3
Row 15: 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3
Row 16: 4, 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3
Row 17: 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4
Row 18: 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4, 4
Row 19: 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4, 4, 3, 5
Row 20: 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3, 4, 4, 3, 5, 4, 3
Row 21: 3, 4, 5, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4
Row 22: 4, 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3
Row 23: 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 3
Row 24: 4, 3, 3, 4, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3
