P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Major
4,1,3,1,5,4,2,5,4,5,5,2,5,5,2,4,1,4,3,1,Theatre and Performance
2,5,1,1,5,5,3,1,1,3,2,2,5,4,4,1,3,1,4,2,Theatre and Performance
1,5,3,2,5,3,5,2,5,3,3,4,2,2,3,3,2,2,4,2,Theatre and Performance
4,1,3,5,3,2,1,5,3,2,2,4,4,5,1,5,3,1,2,5,Theatre and Performance
5,1,3,4,3,3,4,4,3,1,1,2,2,3,2,2,4,3,5,5,Theatre and Performance
1,1,1,1,4,3,4,2,4,2,4,1,1,2,5,5,2,5,3,2,Theatre and Performance
5,3,1,4,5,2,5,5,3,4,1,2,1,3,4,1,5,3,2,5,Theatre and Performance
5,4,5,4,4,4,1,5,4,1,3,1,5,2,3,4,5,4,5,4,Theatre and Performance
3,5,3,3,5,4,1,5,2,5,2,2,5,1,3,5,3,2,2,4,Theatre and Performance
5,4,5,4,5,5,2,2,4,5,4,4,3,1,5,3,4,3,4,5,Theatre and Performance
3,3,5,4,5,5,3,4,5,1,5,5,1,2,4,1,1,2,3,5,Theatre and Performance
1,4,1,2,4,1,3,4,5,5,4,5,3,3,1,5,5,3,5,2,Theatre and Performance
3,2,3,2,5,4,1,2,3,5,5,1,3,2,4,2,1,2,1,4,Theatre and Performance
5,5,3,3,2,3,3,1,4,2,2,5,3,5,4,5,4,2,3,2,Theatre and Performance
2,2,4,4,3,5,2,1,3,5,4,2,5,1,2,3,4,2,2,3,Theatre and Performance
1,4,2,5,5,5,3,4,4,3,5,5,2,5,1,1,3,3,1,4,Theatre and Performance
2,4,2,3,5,1,1,4,1,2,1,1,1,1,5,5,4,1,3,5,Theatre and Performance
5,3,2,1,4,4,5,1,3,5,5,4,2,2,4,2,5,2,1,5,Theatre and Performance
2,4,5,5,2,2,2,2,5,3,5,5,5,1,1,4,3,1,3,4,Theatre and Performance
2,5,5,2,3,4,3,3,2,2,1,2,4,1,5,3,4,3,5,4,Theatre and Performance
4,2,5,5,2,5,4,3,1,4,3,2,2,1,5,2,2,3,2,1,Theatre and Performance
4,2,2,3,2,3,5,1,2,3,2,5,4,1,4,4,2,5,1,3,Theatre and Performance
2,1,1,1,2,1,4,1,2,5,3,5,4,2,4,2,3,3,3,2,Theatre and Performance
3,3,3,5,1,4,3,3,4,5,5,5,4,5,5,3,3,3,2,4,Theatre and Performance
3,1,2,5,3,1,2,5,3,1,4,4,5,3,5,1,4,4,4,5,Theatre and Performance
3,1,3,5,3,3,2,1,3,2,5,2,2,1,4,2,5,5,3,2,Theatre and Performance
3,2,1,3,5,3,2,4,5,1,5,5,3,2,1,3,4,3,3,5,Theatre and Performance
3,4,2,1,2,2,4,2,2,2,1,1,3,1,4,2,3,1,3,2,Theatre and Performance
1,4,1,3,5,2,3,5,1,3,5,1,5,3,1,2,4,3,1,3,Theatre and Performance
3,4,2,2,5,5,4,5,4,1,1,1,3,1,3,2,5,1,4,3,Theatre and Performance
2,2,2,2,2,5,5,1,3,2,5,3,3,5,2,2,1,1,1,2,Theatre and Performance
1,2,1,5,3,5,5,2,5,1,2,4,1,5,5,2,5,3,1,2,Theatre and Performance
2,5,1,2,3,5,1,2,3,4,1,1,5,2,2,2,5,5,5,4,Theatre and Performance
1,2,3,5,4,1,5,2,1,5,4,2,5,3,2,2,1,2,1,5,Theatre and Performance
5,2,2,3,1,2,2,4,1,1,3,2,2,2,1,4,4,1,2,2,Theatre and Performance
4,5,4,2,5,2,4,2,2,2,3,4,4,3,1,3,4,4,4,1,Theatre and Performance
2,2,5,2,2,2,5,3,4,5,1,5,1,1,1,1,2,3,3,3,Theatre and Performance
4,5,4,1,1,1,1,3,1,5,3,2,1,1,1,3,5,1,2,2,Theatre and Performance
2,3,4,3,1,4,4,3,2,5,5,5,3,2,4,2,4,2,3,1,Theatre and Performance
1,4,1,2,1,5,2,3,3,2,3,4,5,1,3,2,1,3,2,4,Theatre and Performance
3,5,5,1,5,4,1,4,5,3,4,5,1,3,2,4,3,4,1,2,Theatre and Performance
3,3,5,4,3,2,3,2,4,3,3,5,2,3,4,3,2,1,3,5,Theatre and Performance
3,2,3,5,5,3,4,1,5,4,2,5,5,3,3,5,5,2,3,4,Theatre and Performance
4,5,1,1,4,3,5,2,1,3,4,1,5,3,2,1,3,2,1,1,Theatre and Performance
2,2,2,5,4,1,4,2,4,4,2,2,3,1,5,2,5,4,3,5,Theatre and Performance
5,5,4,3,3,3,4,3,3,2,3,3,2,1,3,4,1,5,4,1,Theatre and Performance
2,5,2,2,5,4,4,5,2,5,3,2,4,3,1,5,5,5,2,4,Theatre and Performance
5,3,3,2,4,3,1,3,3,2,3,1,5,2,3,5,1,2,4,5,Theatre and Performance
2,2,2,1,5,1,1,4,3,1,4,2,4,5,2,2,3,1,1,1,Theatre and Performance
5,5,1,2,3,2,5,3,2,1,4,1,2,3,2,5,5,4,4,4,Theatre and Performance
1,3,2,3,3,2,4,1,4,4,5,2,4,3,5,5,2,1,2,4,Theatre and Performance
3,4,1,1,5,4,3,5,4,4,3,5,2,2,3,2,3,4,1,1,Theatre and Performance
1,1,4,3,3,3,1,3,4,2,3,5,4,1,1,1,3,3,4,1,Theatre and Performance
1,4,4,4,1,1,2,2,3,3,4,2,2,1,3,5,2,3,2,4,Theatre and Performance
2,4,1,3,2,4,1,1,2,5,3,5,2,1,1,5,1,2,4,3,Theatre and Performance
1,4,1,5,3,3,1,3,3,5,1,4,1,5,1,4,1,3,1,5,Theatre and Performance
3,4,5,2,3,5,4,5,3,2,4,4,1,4,4,5,5,3,2,2,Theatre and Performance
4,3,4,5,4,1,4,3,4,4,5,5,2,4,2,4,2,4,1,4,Theatre and Performance
5,4,2,3,2,3,4,1,2,2,3,2,5,2,4,3,1,3,4,4,Theatre and Performance
5,2,5,1,3,1,4,1,5,3,1,1,5,2,1,2,2,5,2,5,Theatre and Performance
